X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,prePrac2_fixResp.keys,prePrac2_fixResp.corr,prePrac2_imgResp.keys,prePrac2_imgResp.corr,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials_slow.thisRepN,pTrials_slow.thisTrialN,pTrials_slow.thisN,pTrials_slow.thisIndex,pTrials_slow.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp_fast.keys,prac_fix_resp_fast.corr,prac_resp2.keys,prac_resp2.corr,pTrials_fast.thisRepN,pTrials_fast.thisTrialN,pTrials_fast.thisN,pTrials_fast.thisIndex,pTrials_fast.ran,prac_fix_resp_fast.rt,prac_resp2.rt,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,block_type,key_resp.keys,key_resp.corr,key_resp.rt,fix_resp.keys,fix_resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text,fix_resp.rt
0.0517,0.0509,space,112.417595,f,0,31.377195,,0,,0,0,-0.179718871,0,Stimuli/H5sim0.png,Stimuli/H5sim0.png,f,1,3.70205,,1,0,0,0,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H-8sim1.png,j,1,3.43296,,0,1,0,1,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H8sim0.png,Stimuli/H8sim0.png,,0,,,1,2,0,2,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H-8sim3.png,f,0,3.681105,,1,3,0,3,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H6sim0.png,Stimuli/H6sim0.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,1,Stimuli/H5sim0.png,Stimuli/H-8sim1.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,1,,0,1,0,1,0,1,3.585875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,0,,0,2,0,2,0,1,3.27091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/H-8sim0.png,Stimuli/H7sim0.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,f,0,3,0,3,0,1,,4.26778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/edmd.png,Stimuli/edmd.png,f,1,2.21911,,1,0,0,0,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/eomu.png,Stimuli/eumu.png,f,0,3.715625,,1,1,0,1,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,0,Stimuli/f15.png,Stimuli/f15.png,j,0,2.36798,space,1,2,0,2,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,3.631155,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/eumu.png,f,0,3.27364,,1,3,0,3,0,1,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f142.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,0,j,0,0,0,0,0,1,3.885495,1.93395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.179718871,1,Stimuli/f142.png,Stimuli/f15.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,1,f,0,1,0,1,0,1,4.073955,2.17371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,0,Stimuli/eomu.png,Stimuli/eomu.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,space,0,,0,2,0,2,0,1,1.8876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/eomu.png,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,1,f,0,3,0,3,0,1,,2.89989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f15.png,Stimuli/f142.png,feat_face,j,1,1.30306,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,1.049295,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.6679,,0,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f131.png,feat_face,f,0,17.72294,,1,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,2.13387,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f24.png,feat_face,f,0,0.967085,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,j,0,7.867075,,1,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,3.364655,,0,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f24.png,Stimuli/f142.png,feat_face,f,0,2.013745,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f131.png,Stimuli/f142.png,feat_face,f,0,1.453935,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,j,0,1.366895,,1,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/f15.png,Stimuli/f24.png,feat_face,j,1,1.36076,,0,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,0.98035,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/f131.png,Stimuli/f24.png,feat_face,j,1,2.0829,,0,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,f,1,1.44596,,1,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f24.png,Stimuli/f24.png,feat_face,j,0,1.418535,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f142.png,Stimuli/f15.png,feat_face,f,0,2.770655,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f24.png,Stimuli/f131.png,feat_face,j,1,0.98486,,1,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f131.png,Stimuli/f131.png,feat_face,f,1,47.94968,,0,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/f142.png,Stimuli/f142.png,feat_face,j,0,4.25362,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/f15.png,Stimuli/f15.png,feat_face,f,1,3.070125,,0,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f15.png,Stimuli/f131.png,feat_face,j,1,2.03506,,1,21,0,21,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f131.png,Stimuli/f15.png,feat_face,f,0,2.316495,,1,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/f24.png,Stimuli/f15.png,feat_face,j,1,17.41465,,1,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,feat_face,Designs/instructions_face_1234.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H8sim0.png,Stimuli/H5sim0.png,feat_haus,j,1,6.78583,,1,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H6sim0.png,Stimuli/H8sim0.png,feat_haus,j,1,1.082145,,1,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,feat_haus,f,1,1.281585,,1,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/H7sim0.png,Stimuli/H5sim0.png,feat_haus,j,1,1.81476,,0,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,feat_haus,f,1,28.030895,,1,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,feat_haus,j,0,24.36025,,1,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,feat_haus,j,0,5.25612,,0,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H5sim0.png,Stimuli/H7sim0.png,feat_haus,f,0,3.59183,,1,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,feat_haus,j,0,3.78042,,1,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H7sim0.png,Stimuli/H8sim0.png,feat_haus,f,0,47.84982,,1,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,feat_haus,f,1,5.788265,,1,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/H6sim0.png,Stimuli/H5sim0.png,feat_haus,j,1,5.550775,,0,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,feat_haus,j,0,1.932975,,1,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H5sim0.png,Stimuli/H8sim0.png,feat_haus,f,0,2.05716,,1,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,feat_haus,f,1,5.165565,,0,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H7sim0.png,Stimuli/H6sim0.png,feat_haus,j,1,1.749475,,1,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H6sim0.png,Stimuli/H6sim0.png,feat_haus,f,1,11.19637,,1,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/H8sim0.png,Stimuli/H7sim0.png,feat_haus,f,0,75.815335,,0,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H7sim0.png,Stimuli/H7sim0.png,feat_haus,j,0,3.67778,,1,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H8sim0.png,Stimuli/H8sim0.png,feat_haus,f,1,1.346115,,1,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H5sim0.png,Stimuli/H6sim0.png,feat_haus,j,1,1.815575,,1,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,1,-0.179718871,0,Stimuli/H6sim0.png,Stimuli/H7sim0.png,feat_haus,f,0,1.33347,,0,21,0,21,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/H5sim0.png,Stimuli/H5sim0.png,feat_haus,j,0,1.749035,,1,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,0,Stimuli/H8sim0.png,Stimuli/H6sim0.png,feat_haus,f,0,0.52956,,1,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,feat_haus,Designs/instructions_haus_1234.png,
,,,,,,,,,,,,,,,,,,,,,,,,,,ak,2,1,2020-12-03_10h20.48.894,configural_featural,2020.2.4,Win32,60,1536,864,,,,,,,,,,,,,,,,,,0,-0.179718871,1,Stimuli/eumu.png,Stimuli/eumu.png,conf_face,j,0,10.23659,,1,0,0,0,0,1,,,,,,,,
