X Scale,Y Scale,prePrac1Resp.keys,prePrac1Resp.corr,prePrac1Resp.rt,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_13.keys,key_resp_13.corr,key_resp_13.rt,pfix_switches,Pside,ptrial_type1S0D,ptarget,pprobe,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,pTrials.thisRepN,pTrials.thisTrialN,pTrials.thisN,pTrials.thisIndex,pTrials.ran,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fix_switches,side,trial_type1S0D,target,probe,key_resp_3.keys,key_resp_4.keys,key_resp_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_6.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp_6.rt,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,Block_type,instruction_text
0.0469,0.047,j,1,2.863155,space,1,2.59128,f,1,1.3906,0,0.1622271,0,Stimuli/nemo1.jpg,Stimuli/nemo1.jpg,f,1,1.283485,,1,0,0,0,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,1.29999,,1,1,0,1,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,0,Stimuli/dory1.png,Stimuli/dory1.png,f,1,0.61696,,1,2,0,2,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.41543,,1,3,0,3,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,0.1622271,1,Stimuli/dory2.png,Stimuli/dory1.png,j,1,0.54126,space,1,4,0,4,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,1.120555,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0.1622271,1,Stimuli/nemo2.png,Stimuli/nemo1.jpg,j,1,1.26766,,1,5,0,5,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,1.5657,,1,6,0,6,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1622271,1,Stimuli/nemo1.jpg,Stimuli/nemo2.png,j,1,0.78818,space,1,7,0,7,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,1.11619,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,-0.1622271,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,0.68381,,0,8,0,8,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,1,Stimuli/dory1.png,Stimuli/dory2.png,j,1,1.51505,,1,9,0,9,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,0,Stimuli/dory2.png,Stimuli/dory2.png,f,1,0.634195,,1,10,0,10,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,-0.1622271,0,Stimuli/nemo2.png,Stimuli/nemo2.png,f,1,0.53235,,1,11,0,11,0,1,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,j,1,1.416765,,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,0.548485,,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,0.1622271,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,j,1,1.95345,space,2,0,2,0,1,0.181735,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.56749,,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,0.1622271,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,j,1,0.599095,,4,0,4,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,0.50594,,5,0,5,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,f,0,0.502525,,6,0,6,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eimd.png,Stimuli/eumu.png,,,,j,1,0.581855,,7,0,7,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,1.0992,,8,0,8,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,-0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,0,0.5495,,9,0,9,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,1,1.16447,,10,0,10,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,f,0,0.79742,,11,0,11,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/edmd.png,Stimuli/eomu.png,,,,j,1,0.61493,,12,0,12,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,0.78424,,13,0,13,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,0.1622271,0,Stimuli/eumu.png,Stimuli/eimd.png,,,,j,1,0.914455,,14,0,14,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,f,0,1.117935,,15,0,15,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,0,1.36937,,16,0,16,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,f,1,0.681285,,17,0,17,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/edmd.png,Stimuli/eimd.png,,,,f,0,0.930945,,18,0,18,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,1,0.54873,,19,0,19,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,1.0336,,20,0,20,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eomu.png,Stimuli/eumu.png,,,,j,1,1.022475,,21,0,21,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,-0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,0.432405,,22,0,22,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,1.18077,,23,0,23,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,1,0.801015,,24,0,24,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,j,1,0.39939,,25,0,25,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eimd.png,Stimuli/eomu.png,,,,j,1,0.448685,,26,0,26,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,1,0.287785,,27,0,27,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,j,1,0.874135,,28,0,28,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,f,1,0.831285,,29,0,29,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.630825,,30,0,30,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,j,1,0.715495,,31,0,31,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,j,0,1.016,,32,0,32,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,f,1,0.33409,,33,0,33,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,1,-0.1622271,0,Stimuli/eumu.png,Stimuli/eomu.png,,,,j,1,0.483715,,34,0,34,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eomu.png,Stimuli/eimd.png,,,,j,1,1.36534,,35,0,35,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/edmd.png,Stimuli/eimd.png,,,,j,1,0.53202,,36,0,36,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eomu.png,Stimuli/eumu.png,,,,j,1,0.755115,,37,0,37,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eomu.png,Stimuli/eomu.png,,,,j,0,0.573565,,38,0,38,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,0.614355,,39,0,39,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eumu.png,Stimuli/edmd.png,,,,j,1,0.682815,,40,0,40,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.901145,,41,0,41,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eimd.png,Stimuli/eimd.png,,,,j,0,2.69856,,42,0,42,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,0,Stimuli/eimd.png,Stimuli/edmd.png,,,,j,1,0.6477,,43,0,43,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/eomu.png,Stimuli/edmd.png,,,,j,1,1.516485,,44,0,44,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/edmd.png,Stimuli/eumu.png,,,,j,1,0.405095,,45,0,45,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,1,Stimuli/edmd.png,Stimuli/edmd.png,,,,j,0,0.401335,,46,0,46,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/eumu.png,Stimuli/eumu.png,,,,f,1,0.464415,,47,0,47,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,conf_face,Designs/instructions_face_1234.png
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim2.png,Stimuli/H-8sim3.png,,,,j,1,0.651345,,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim0.png,Stimuli/H-8sim0.png,,,,f,1,1.65239,,1,0,1,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,-0.1622271,0,Stimuli/H-8sim2.png,Stimuli/H-8sim1.png,,,,f,0,1.969475,,2,0,2,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim2.png,Stimuli/H-8sim2.png,,,,f,1,0.54845,,3,0,3,0,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,sophie,1,2,2020-10-30_18h41.42.132,configural_featural,2020.2.4,MacIntel,60,1792,1120,,0,0.1622271,1,Stimuli/H-8sim3.png,Stimuli/H-8sim3.png,,,,j,0,0.78402,,4,0,4,0,1,,,,,,,,
