X Scale,Y Scale,hand_hold_resp.keys,hand_hold_resp.corr,hand_hold_resp.rt,fixpR1,prac_resp.keys,prac_resp.corr,prac_resp.rt,prac_fix_resp.keys,prac_fix_resp.corr,prac_trials_run1.thisRepN,prac_trials_run1.thisTrialN,prac_trials_run1.thisN,prac_trials_run1.thisIndex,prac_trials_run1.ran,runID,imgID,stimLabel,imFile,corr,side,participant,design,position,date,expName,psychopyVersion,OS,frameRate,xResolution,yResolution,prac_fix_resp.rt,fixR1,fix_resp1_1.keys,trial_resp.keys,trial_resp.corr,trial_resp.rt,fix_resp_2.keys,trials_run1.thisRepN,trials_run1.thisTrialN,trials_run1.thisN,trials_run1.thisIndex,trials_run1.ran,fix_resp_2.rt,fix_resp1_1.rt,fixpR2,fix_respP2_1.keys,prac_trials_run2.thisRepN,prac_trials_run2.thisTrialN,prac_trials_run2.thisN,prac_trials_run2.thisIndex,prac_trials_run2.ran,fixR2,fix_resp2_1.keys,trials_run2.thisRepN,trials_run2.thisTrialN,trials_run2.thisN,trials_run2.thisIndex,trials_run2.ran,fix_resp2_1.rt
,,,,,,,,,,,,,,,,1,3,smallHincon,Stimuli/SofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,f,1,1.91063,,11,1,45,1,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,7,smallSincon,Stimuli/HofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,0.67483,,11,2,46,3,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,5,smallScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,0,,j,1,1.59656,,11,3,47,2,1,,,,,,,,,,,,,,,,,
,,f,0,3.62131,,j,1,1.352455,,1,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,0,,0,0,0,3,1,,,,,,,,
,,,,,,j,1,1.21204,space,1,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,1.212705,,,,,,,,,,,,,,1,,0,1,1,0,1,,,,,,,,
,,,,,,f,1,2.632375,,1,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,0,,0,2,2,1,1,,,,,,,,
,,,,,,f,1,3.280945,,1,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,,,,,,,,,,,,0,,0,3,3,2,1,,,,,,,,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,2.081665,,,,,,,,,,,,,,,,0,,0,0,0,1,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,2.19812,space,,,,,,2.19858,,,,,,,,,0,,0,1,1,2,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.74579,,,,,,,,,,,,,,,,0,,0,2,2,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.452555,,,,,,,,,,,,,,,,0,,0,3,3,3,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.94887,,,,,,,,,,,,,,,,0,,1,0,4,3,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.741525,,,,,,,,,,,,,,,,0,,1,1,5,2,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,2.41941,,,,,,,,,,,,,,,,0,,1,2,6,0,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.819985,,,,,,,,,,,,,,,,0,space,1,3,7,1,1,0.00098
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.84872,,,,,,,,,,,,,,,,0,,2,0,8,1,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.51234,,,,,,,,,,,,,,,,1,,2,1,9,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.447615,,,,,,,,,,,,,,,,1,space,2,2,10,3,1,0.01728
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.817515,,,,,,,,,,,,,,,,0,,2,3,11,0,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.2272,,,,,,,,,,,,,,,,0,,3,0,12,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.08431,,,,,,,,,,,,,,,,0,,3,1,13,3,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.715475,,,,,,,,,,,,,,,,0,,3,2,14,2,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.994575,,,,,,,,,,,,,,,,0,,3,3,15,1,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.70961,,,,,,,,,,,,,,,,0,,4,0,16,1,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.022555,,,,,,,,,,,,,,,,0,,4,1,17,2,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.982485,,,,,,,,,,,,,,,,0,,4,2,18,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.933845,,,,,,,,,,,,,,,,0,,4,3,19,3,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.083015,,,,,,,,,,,,,,,,1,,5,0,20,1,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.964305,,,,,,,,,,,,,,,,0,,5,1,21,0,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.94959,,,,,,,,,,,,,,,,0,,5,2,22,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,2.4264,,,,,,,,,,,,,,,,0,,5,3,23,3,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.88506,,,,,,,,,,,,,,,,0,,6,0,24,1,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.46433,,,,,,,,,,,,,,,,0,,6,1,25,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.754035,,,,,,,,,,,,,,,,0,,6,2,26,3,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.052455,,,,,,,,,,,,,,,,0,,6,3,27,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.731395,,,,,,,,,,,,,,,,0,,7,0,28,3,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.83554,,,,,,,,,,,,,,,,0,,7,1,29,0,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.783845,,,,,,,,,,,,,,,,0,,7,2,30,1,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.67772,,,,,,,,,,,,,,,,0,,7,3,31,2,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.7674,,,,,,,,,,,,,,,,0,,8,0,32,1,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.588065,,,,,,,,,,,,,,,,0,,8,1,33,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.808935,,,,,,,,,,,,,,,,0,,8,2,34,3,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.164295,,,,,,,,,,,,,,,,0,,8,3,35,2,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.169115,,,,,,,,,,,,,,,,0,,9,0,36,3,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.865425,,,,,,,,,,,,,,,,0,,9,1,37,0,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.23123,,,,,,,,,,,,,,,,0,,9,2,38,1,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,0.97067,,,,,,,,,,,,,,,,0,,9,3,39,2,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.14076,,,,,,,,,,,,,,,,0,,10,0,40,2,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.52711,,,,,,,,,,,,,,,,0,,10,1,41,1,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.809135,,,,,,,,,,,,,,,,0,,10,2,42,3,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.73019,,,,,,,,,,,,,,,,0,,10,3,43,0,1,
,,,,,,,,,,,,,,,,2,5,largeScongr,Stimuli/SofS2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.47921,,,,,,,,,,,,,,,,0,,11,0,44,2,1,
,,,,,,,,,,,,,,,,2,1,largeHcongr,Stimuli/HofH2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,0.965905,,,,,,,,,,,,,,,,0,,11,1,45,0,1,
,,,,,,,,,,,,,,,,2,7,largeSincon,Stimuli/SofH2.jpg,j,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,j,1,1.289,,,,,,,,,,,,,,,,0,,11,2,46,3,1,
,,,,,,,,,,,,,,,,2,3,largeHincon,Stimuli/HofS2.jpg,f,left,nb,1,1,2020-11-20_14h34.11.055,global_local,2020.2.4,MacIntel,60,1280,800,,,,f,1,1.30602,,,,,,,,,,,,,,,,0,,11,3,47,1,1,
