trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,14.027230406005401,None,space,1.4130030809901655,14.027230406005401,None,15.49827651202213,15.99247151199961,0.20740865130210295,0.507408651302103,16.01432467700215,16.217484491004143,d,0,0.8883763790072408,16.167606613016687,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,,,,,17.083879325015005,17.28593550401274,0.2026251466886606,0.5026251466886607,17.61423940001987,17.81763806802337,s,0,0.6267622880113777,17.769115954026347,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,,,,,18.417310881020967,18.617672997002956,0.2059135816525668,0.5059135816525668,18.933625795005355,19.135960774001433,d,0,0.6103582910145633,19.10263800100074,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,,,,,19.734323698998196,19.934190194006078,0.20474026363808662,0.5047402636380867,20.250435220019426,20.450884462014074,s,0,0.7194030840182677,20.41756714900839,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,,,,,21.185923675016966,21.69259617300122,0.2130662726412993,0.5130662726412993,21.714306559006218,21.91759231602191,d,0,0.5523464540019631,21.869211722019827,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,,,,,22.45057604802423,22.650766977021703,0.20644071666174568,0.5064407166617457,22.967107825999847,23.167456017021323,s,0,1.7316395309753716,23.13420177300577,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,,,,,24.88406490700436,25.086034280015156,0.20248827265459113,0.5024882726545912,25.414346991019556,25.61764548299834,s,0,0.49134890400455333,25.569251040025847,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,,,,,26.102796691004187,26.60057832801249,0.2009792176540941,0.5009792176540941,26.60057832801249,26.802733591001015,s,0,0.7789099920191802,26.76919393800199,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,,,,,27.56715863602585,27.769193194020772,0.2018680186884012,0.5018680186884013,28.097708028013585,28.30094093302614,d,0,0.6876195579825435,28.252767581027,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,,,,,28.967258478020085,29.167643552005757,0.199457993672695,0.499457993672695,29.48385953201796,29.68435534602031,d,0,0.635212583001703,29.650934945006156,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,,,,,30.317832636006642,30.517635579017224,0.19959457367076539,0.4995945736707654,30.83394797501387,31.036017200007336,s,0,0.3822527540032752,31.017605114000617,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,,,,,31.416772390017286,31.61766437999904,0.20309636264573783,0.5030963626457379,31.933691528014606,32.134360525000375,d,0,0.5478735879878514,32.100996227003634,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,,,,,32.66760053401231,32.86776747001568,0.20468172564869747,0.5046817256486975,33.183617433998734,33.38440948800417,s,0,0.6576859549968503,33.35101465700427,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,,,,,34.03406780300429,34.236099784000544,0.2020158806699328,0.5020158806699329,34.56441574799828,34.76770428402233,d,0,0.5032636850082781,34.719337900023675,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,,,,,35.25125813100021,35.451032619021134,0.21388655764167197,0.513886557641672,35.79775235999841,36.00277713002288,d,0,0.5996254770143423,35.95114517802722,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,,,,,36.56738828300149,36.767725825018715,0.20147453565732576,0.5014745356573258,37.0977868460177,37.30101973202545,s,0,1.2444608329969924,37.252764269011095,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
16,0,0,0,0,0,16,16,16,,,,,,,,,,,38.517117542010965,38.7176777520217,0.20145876964670606,0.5014587696467061,39.034007382026175,39.23437115701381,s,0,1.5356575810001232,39.201066120003816,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,,,,,40.78619651400368,41.29269525001291,0.2121077436604537,0.5121077436604538,41.3145151870267,41.51778651200584,d,0,0.7801342669990845,41.469342482014326,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
18,0,0,0,0,0,18,18,18,,,,,,,,,,,42.26777536701411,42.4693509300123,0.20482882965006866,0.5048288296500687,42.79783316000248,43.001075695006875,d,0,1.603569872007938,42.953062367014354,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
19,0,0,0,0,0,19,19,19,,,,,,,,,,,44.60290031702607,45.10921704600332,0.21262278067297302,0.5126227806729731,45.130993798025884,45.3342548860237,d,0,0.9873968060128391,45.28596199801541,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
20,0,0,0,0,0,20,20,20,,,,,,,,,,,46.301264237001305,46.500879369006725,0.21368624267051928,0.5136862426705193,46.84794600302121,47.050856835005106,s,0,0.5605866230034735,47.00259871201706,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
21,0,0,0,0,0,21,21,21,,,,,,,,,,,47.584109261020785,47.78419543700875,0.20570369766210206,0.5057036976621021,48.10039362902171,48.30093179602409,s,0,0.4414709820121061,48.26748159600538,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
22,0,0,0,0,0,22,22,22,,,,,,,,,,,48.73368980802479,48.935988099023234,0.206420682661701,0.506420682661701,49.2638096420269,49.467480853025336,s,0,0.45090747499489225,49.41925137702492,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
23,0,0,0,0,0,23,23,23,,,,,,,,,,,49.90138272402692,50.10126762400614,0.21395960764493793,0.513959607644938,50.44764721300453,50.65114834799897,d,0,0.5766580380150117,50.602996219007764,None,,,,,,,,,,,,,,,,,,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,51.201206027006265,None,space,8.39231643002131,51.201206027006265,None,59.61757622699952,59.81792871601647,60.16463391901925,60.3694921680144,0.21200804066029377,0.5120080406602938,s,0,0.6315141720115207,60.3194653680257,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,60.967513360024896,61.16947062802501,61.49780456200824,61.70103862701217,0.2020113286562264,0.5020113286562264,d,0,0.6413994939939585,61.652697666024324,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,62.3176018850063,62.51768490302493,62.833989286009455,63.03432943500229,0.20497737367986701,0.5049773736798671,d,0,0.4784115169895813,63.000992818007944,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,63.500842994020786,63.70111777802231,64.01723179701366,64.2176465060038,0.20471155663835816,0.5047115566383582,s,0,0.8095388479996473,64.18434464500751,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,65.0172516630264,65.21802076502354,65.53409958002158,65.73638277401915,0.20263212764984928,0.5026321276498493,d,0,0.677959013992222,65.70129396702396,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,66.4006684400083,66.60126865102211,66.91760465601692,67.1180119360215,0.20256514867651276,0.5025651486765128,d,0,0.5117772270168643,67.08467121902504,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,67.61770620601601,67.8180376010132,68.13421449900488,68.33635933100595,0.20436847765813582,0.5043684776581359,s,0,0.5194572329928633,68.30131557400455,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,68.8505807449983,69.05129438600852,69.36762254801579,69.56794407902635,0.19935146064381115,0.49935146064381114,d,0,0.7191097940085456,69.53462452199892,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,70.28413579502376,70.48640251302277,70.80096207500901,71.0014631760132,0.1998125386890024,0.4998125386890024,s,0,0.4943333670089487,70.9679981150257,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,71.48444313800428,71.68475571702584,72.00096542501706,72.20318188500823,0.2056683796690777,0.5056683796690777,s,0,0.8300396759877913,72.1697714960028,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,73.01740077801514,73.21794800000498,73.53408234502422,73.73465535001014,0.20271710364613682,0.5027171036461369,d,0,0.39802858399343677,73.70136212700163,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,74.11766321602045,74.31972598400898,74.6480938080058,74.85143354401225,0.2019818526750896,0.5019818526750897,s,0,0.5100515340163838,74.80294744702405,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,75.3344087790174,75.53469674900407,75.85099823802011,76.0514236340241,0.20086293068015948,0.5008629306801595,d,0,0.5633456310024485,76.017982424004,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,76.601171265007,76.8014802650141,77.11764423100976,77.31806095701177,0.2071044196782168,0.5071044196782168,s,0,0.977857577992836,77.28470327600371,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,78.28453392101801,78.48480561701581,78.80084967802395,79.00145440601045,0.2032569106668234,0.5032569106668234,s,0,0.6887362379929982,78.9681485890178,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,79.68416389601771,79.88471410100465,80.20100802200614,80.4013590090035,0.19954791269265115,0.49954791269265114,d,0,0.38435344299068674,80.36799460102338,None,lol,001,2020_Sep_21_2150,config_feat_task,2020.2.4,None,
