target,probe,corrAns
stimuli/Spacing_Set/H-8sim0.bmp,stimuli/Spacing_Set/H-8sim1.bmp,d
stimuli/Spacing_Set/H-8sim0.bmp,stimuli/Spacing_Set/H-8sim2.bmp,d
stimuli/Spacing_Set/H-8sim0.bmp,stimuli/Spacing_Set/H-8sim3.bmp,d
stimuli/Spacing_Set/H-8sim1.bmp,stimuli/Spacing_Set/H-8sim2.bmp,d
stimuli/Spacing_Set/H-8sim1.bmp,stimuli/Spacing_Set/H-8sim3.bmp,d
stimuli/Spacing_Set/H-8sim2.bmp,stimuli/Spacing_Set/H-8sim3.bmp,d
stimuli/Spacing_Set/H-8sim1.bmp,stimuli/Spacing_Set/H-8sim0.bmp,d
stimuli/Spacing_Set/H-8sim2.bmp,stimuli/Spacing_Set/H-8sim0.bmp,d
stimuli/Spacing_Set/H-8sim3.bmp,stimuli/Spacing_Set/H-8sim0.bmp,d
stimuli/Spacing_Set/H-8sim2.bmp,stimuli/Spacing_Set/H-8sim1.bmp,d
stimuli/Spacing_Set/H-8sim3.bmp,stimuli/Spacing_Set/H-8sim1.bmp,d
stimuli/Spacing_Set/H-8sim3.bmp,stimuli/Spacing_Set/H-8sim2.bmp,d