trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,18.662872892979067,None,space,1.8827574969618581,18.662872892979067,None,20.662409622978885,21.166307078965474,0.20915633026743308,0.5091563302674331,21.166307078965474,21.37293396797031,s,0,0.9015973490313627,21.321005733974744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,22.25639176898403,22.45445211196784,0.20847674465039745,0.5084767446503975,22.770500838989392,22.971209843992256,s,0,0.46773399703670293,22.939053917012643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,23.437108740967233,23.637725102016702,0.20413553767139092,0.504135537671391,23.954231667972635,24.156386489979923,s,0,0.29119783703936264,24.12275578000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
3,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,24.437087333004456,24.63981680996949,0.20333475864026695,0.503334758640267,24.95391522801947,25.15621669200482,s,0,0.30068648396991193,25.121057967015076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
4,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,25.456323724007234,25.962871376017574,0.20919634669553488,0.5091963466955349,25.984157651022542,26.187689629965462,d,0,0.49141054903157055,26.139827967970632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
5,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,26.65439541498199,26.854517814004794,0.20549625670537353,0.5054962567053736,27.170756357023492,27.37260665302165,d,0,0.5133599819964729,27.33973512199009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
6,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,27.871161431015935,28.07258219801588,0.2025210207211785,0.5025210207211785,28.400700330967084,28.60407268401468,s,0,0.36706634401343763,28.556401136971544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
7,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,28.954058463976253,29.155502331967,0.19952700467547402,0.499527004675474,29.48413435398834,29.69053314998746,d,0,0.6737095119897276,29.639965083973948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
8,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,30.33788998500677,30.539673941966612,0.2165482057025656,0.5165482057025657,30.870867140009068,31.073027645994443,s,0,0.3453483100165613,31.03949003701564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
9,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,31.40453282900853,31.604579403996468,0.20584947062889114,0.5058494706288912,31.921005844022147,32.123005061002914,d,0,0.4138266940135509,32.09005213197088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
10,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,32.52125461597461,32.721278636017814,0.2048235446563922,0.5048235446563922,33.03765914298128,33.237902386987116,s,0,0.8590060850256123,33.20475286600413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
11,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,34.0876203859807,34.28947497397894,0.2021218856680207,0.5021218856680207,34.61673721898114,34.82304705597926,d,0,0.519109771004878,34.77112083800603,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
12,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,35.320821752015036,35.52318345900858,0.1999059736263007,0.4999059736263007,35.85100581700681,36.05457091098651,d,0,0.46738248702604324,36.006333444966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
13,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,36.50414336001268,36.70496386801824,0.20004489563871175,0.5000448956387118,37.021138464973774,37.22139614098705,s,0,0.5113411929924041,37.18812640599208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
14,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,37.72117994201835,37.921501960023306,0.20563310367288068,0.5056331036728807,38.23770007601706,38.44020132999867,s,0,0.6026623499928974,38.40655432001222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
15,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,39.03772479802137,39.23790366196772,0.1999789116671309,0.4999789116671309,39.55448461702326,39.756565337011125,d,0,0.8069155689445324,39.73811601597117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
16,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,40.57093810697552,40.771545586991124,0.20109494065400213,0.5010949406540022,41.08762063999893,41.2879689289839,s,0,0.533442507032305,41.25441619701451,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
17,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,41.80424685101025,42.004759187984746,0.20484174566809088,0.5048417456680909,42.32108402100857,42.5231153559871,d,0,0.5437487960443832,42.489497521019075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
18,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,43.05430209700717,43.25457940698834,0.2027621156303212,0.5027621156303212,43.570757722016424,43.77137400198262,s,0,0.6408490900066681,43.73805159400217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
19,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,44.404418831982184,44.605672994977795,0.20316796062979847,0.5031679606297985,44.93403085699538,45.13777832099004,d,0,0.37505114695522934,45.08966326096561,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
20,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,45.48788688599598,45.687957868969534,0.20538194867549464,0.5053819486754947,46.00422186497599,46.20464022899978,d,0,0.5926105119870044,46.17163017601706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
21,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,46.78793030499946,46.988225832988974,0.20346537668956444,0.5034653766895645,47.30431621900061,47.50721089896979,s,0,0.4389784760423936,47.47119896201184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
22,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,47.937640363990795,48.14031155599514,0.20503001369070262,0.5050300136907027,48.45453555701533,48.656077569001354,d,0,0.5531905890093185,48.62371130101383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
23,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,49.20416998298606,49.404629400989506,0.20299030764726922,0.5029903076472693,49.7211320779752,49.92330260301242,s,0,0.5411686759907752,49.88832971500233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,50.45440051401965,None,space,1.7510230709449388,50.45440051401965,None,52.25496235198807,52.45468703098595,52.77112747001229,52.97138399997493,0.2120581142953597,0.5120581142953597,s,0,0.9630367470090277,52.93829298199853,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
1,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.92053122498328,54.122917426982895,54.454560940968804,54.65621833701152,0.21576711669331416,0.5157671166933142,d,0,0.9635951219825074,54.60440442501567,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
2,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.58777084300527,55.788143254001625,56.134222245018464,56.33788543398259,0.21238916862057522,0.5123891686205753,d,0,0.8717074859887362,56.28976649401011,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
3,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.187953220971394,57.38984254497336,57.71773548796773,57.92154502897756,0.20308462769025937,0.5030846276902594,d,0,0.44783164898399264,57.87274769000942,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
4,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.354655710980296,58.55647430499084,58.88406647800002,59.0880236789817,0.21114484436111525,0.5111448443611153,d,0,0.41132557101082057,59.03971086902311,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
5,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.488201094965916,59.68790842196904,60.00426265702117,60.204761914967094,0.20370098866987973,0.5037009886698798,d,0,0.49343409098219126,60.17128476098878,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.68768969300436,60.88818521599751,61.20443869498558,61.40497954597231,0.20309143868507817,0.5030914386850782,d,0,0.7503330170293339,61.371512089972384,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
7,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.17332803097088,62.67984727898147,62.70118029101286,62.9046902449918,0.2056473646662198,0.5056473646662198,d,0,0.6665768339880742,62.856402556994,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
8,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.556401135982014,64.06306025397498,64.08406961197034,64.28809388901573,0.20825604372657835,0.5082560437265784,d,0,1.0511488000047393,64.2398359850049,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
9,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.33981132000918,65.53795704396907,65.8545721360133,66.05477129598148,0.21485892566852272,0.5148589256685228,d,0,0.9006402540253475,66.0214186119847,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
10,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9543505589827,67.15620168397436,67.48412510601338,67.68799464701442,0.201124646642711,0.5011246466427111,s,0,0.36076743999728933,67.64000880200183,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
11,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.02145642397227,68.22140887897694,68.5377194120083,68.73951672401745,0.20319692458724603,0.5031969245872461,s,0,0.3182109569897875,68.70427293301327,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
12,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.07325823500287,69.27162055997178,69.58784725802252,69.78986445796909,0.2085833676974289,0.508583367697429,s,0,0.2840390669880435,69.75647302699508,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
13,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.071065903001,70.27131760201883,70.58794329297962,70.78845670598093,0.2015136886620894,0.5015136886620895,d,0,0.3735915150027722,70.7549097359879,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
14,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.17148125701351,71.37334195402218,71.70137574500404,71.90490021300502,0.19967938063200563,0.4996793806320056,s,0,0.2745658190106042,71.85644239099929,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
15,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.15462901198771,72.35477626801003,72.67105101700872,72.87246070196852,0.1994562546024099,0.4994562546024099,s,0,0.9293015159782954,72.85425490600755,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
16,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.80468302196823,74.00423538900213,74.32130628399318,74.5214701690129,0.20748689264291897,0.507486892642919,d,0,0.30000859999563545,74.48997057398083,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
17,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.83978139096871,75.0380328479805,75.35445163800614,75.55493470397778,0.20873863261658698,0.508738632616587,s,0,1.083167813019827,75.5215615319903,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
18,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.62161618901882,76.82343708298868,77.15098489198135,77.35477169399383,0.20338928763521835,0.5033892876352184,d,0,0.6108639299636707,77.30753598897718,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
19,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.93826198397437,78.13835259102052,78.45482564996928,78.65662217896897,0.2035639066598378,0.5035639066598379,s,0,1.4262868299847469,78.62401205202332,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
20,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08972645597532,80.59670307097258,80.61860238300869,80.82196111400845,0.20277621765853837,0.5027762176585384,d,0,0.4384023559978232,80.7737170989858,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
