trialNum,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,feat_face_loop.thisRepN,feat_face_loop.thisTrialN,feat_face_loop.thisN,feat_face_loop.thisIndex,conf_haus_loop.thisRepN,conf_haus_loop.thisTrialN,conf_haus_loop.thisN,conf_haus_loop.thisIndex,conf_face_loop.thisRepN,conf_face_loop.thisTrialN,conf_face_loop.thisN,conf_face_loop.thisIndex,feat_haus_loop.thisRepN,feat_haus_loop.thisTrialN,feat_haus_loop.thisN,feat_haus_loop.thisIndex,face_instructions.started,face_instructions.stopped,start_exp_press.keys,start_exp_press.rt,start_exp_press.started,start_exp_press.stopped,target_image1.started,target_image1.stopped,ISI_1.started,ISI_1.stopped,probe_image1.started,probe_image1.stopped,key_resp1.keys,key_resp1.corr,key_resp1.rt,key_resp1.started,key_resp1.stopped,haus_instructions.started,haus_instructions.stopped,start_run2.keys,start_run2.rt,start_run2.started,start_run2.stopped,target_image2.started,target_image2.stopped,probe_image2.started,probe_image2.stopped,ISI_2.started,ISI_2.stopped,key_resp2.keys,key_resp2.corr,key_resp2.rt,key_resp2.started,key_resp2.stopped,target_image3.started,target_image3.stopped,probe_image3.started,probe_image3.stopped,ISI_3.started,ISI_3.stopped,key_resp3.keys,key_resp3.corr,key_resp3.rt,key_resp3.started,key_resp3.stopped,target_image4.started,target_image4.stopped,probe_image4.started,probe_image4.stopped,ISI_4.started,ISI_4.stopped,key_resp4.keys,key_resp4.corr,key_resp4.rt,key_resp4.started,key_resp4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
23,0,0,0,0,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.05526744097006,138.25734881701646,138.58469308697386,138.79074941499857,0.20095433067763224,0.5009543306776323,s,0,0.3644589160103351,138.73896239697933,None,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,139.12242244597292,None,space,1.3055362610029988,139.12242244597292,None,140.47395668900572,140.6720384429791,0.20766155765159056,0.5076615576515906,140.98840138700325,141.18887905101292,s,0,0.5233535949955694,141.15563657699386,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
1,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,141.7048071959871,141.90624816797208,0.19911197066539899,0.499111970665399,142.23481373098912,142.4402991060051,s,0,0.12711281498195603,142.3889326810022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
2,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,142.5384961719974,142.73858116997872,0.2054224256426096,0.5054224256426096,143.05524612497538,143.25574364099884,s,0,0.03915874200174585,143.2222585590207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
3,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,143.28809018497122,143.49070709501393,0.19972003367729485,0.49972003367729484,143.81882041099016,144.0222624670132,s,0,0.07500117499148473,143.97372489096597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
4,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,144.07205680699553,144.27378360601142,0.20246340468293056,0.5024634046829306,144.60159615200246,144.80703129101312,s,0,0.09434202802367508,144.75555030896794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
5,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,144.87197533401195,145.0739590189769,0.2044610086013563,0.5044610086013563,145.40101536299335,145.60532894101925,s,0,0.4654577259789221,145.55697946000146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
6,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,146.0386440079892,146.24044550198596,0.20260547864018008,0.5026054786401801,146.56838518299628,146.77364204498008,d,0,0.23421566101023927,146.72142474597786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
7,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,146.988218308019,147.18860618100734,0.20090696366969496,0.500906963669695,147.5048296789755,147.70713785098633,s,0,0.4855716459569521,147.67356080299942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
8,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,148.1884800720145,148.38884719699854,0.20176619966514409,0.5017661996651441,148.70448738499545,148.9053202230134,d,0,0.36668895196635276,148.87208059197292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
9,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,149.25528877502074,149.45544180599973,0.20433114265324548,0.5043311426532455,149.771802001982,149.97200901102042,s,0,0.21689319796860218,149.93889769498492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
10,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,150.17198778199963,150.37380200700136,0.2024439387023449,0.5024439387023449,150.70139848801773,150.9072820559959,s,0,0.35007378400769085,150.85645315697184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
11,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,151.23833684402052,151.4389971710043,0.20239961962215602,0.5023996196221561,151.75533743598498,151.95691531000193,s,0,0.5301373549737036,151.9242752789869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
12,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,152.47200131899444,152.67178209597478,0.2028837816324085,0.5028837816324085,152.9886387999868,153.1906544850208,s,0,0.29094306798651814,153.15741875197273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
13,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,153.4719999230001,153.6740140080219,0.20110396773088723,0.5011039677308873,154.07237067999085,154.2723182659829,s,0,0.10272548801731318,154.2574481780175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
14,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,154.38829931797227,154.58912903501187,0.20139716059202328,0.5013971605920233,154.90524659800576,None,s,0,0.003133060992695391,155.07220137497643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
15,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,155.1240879719844,155.6218964009895,0.2010771496570669,0.501077149657067,155.6218964009895,155.8221421460039,s,0,0.12256126699503511,155.78896617598366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
16,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,155.93861179996748,156.13821330299834,0.2035162296378985,0.5035162296378985,156.45507623499725,156.65636704699136,d,0,0.2306985660106875,156.62372269597836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
17,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,156.8715365229873,157.07184957602294,0.20156710961600766,0.5015671096160077,157.38850991998333,157.5886021729675,s,0,0.15625058399746194,157.5554222339997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
18,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,157.73848547198577,157.93883207201725,0.2023786786594428,0.5023786786594429,158.25520516798133,None,s,0,0.008908420975785702,158.42205653397832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
19,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,158.45537744899048,158.65515393501846,0.20204919762909412,0.5020491976290942,158.9718102000188,159.17197718500393,s,0,0.37321898102527484,159.13863088400103,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
20,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,159.53854505199706,159.7398662129999,0.20188004960073158,0.5018800496007316,160.06820052402327,160.27201820898335,s,0,0.20923263195436448,160.22386247100076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
21,1,0,1,0,0,21,21,21,,,,,,,,,,,,,,,,,,,160.45545457000844,160.65659666998545,0.20255251263733953,0.5025525126373396,160.98505178000778,161.1887638400076,s,0,0.31917842698749155,161.14066162297968,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
22,1,0,1,0,0,22,22,22,,,,,,,,,,,,,,,,,,,161.4883912350051,161.69051175599452,0.2171059346292168,0.5171059346292168,162.0218891929835,162.2222207930172,s,0,0.7620044350042008,162.17328039900167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
23,1,0,1,0,0,23,23,23,,,,,,,,,,,,,,,,,,,162.95574536698405,163.1568644840154,0.20138088060775772,0.5013808806077578,163.4845399709884,163.68885848397622,s,0,0.7633661370491609,163.6391079800087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
0,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,164.4222277230001,None,space,1.0635665989830159,164.4222277230001,None,165.5238350679865,166.03070866299095,166.05138093599817,166.25750845199218,0.20336029666941613,0.5033602966694162,d,0,0.078289206023328,166.20546842797194,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
1,1,0,1,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.32413388200803,166.83025779301533,166.85156793298665,167.05563439201796,0.20678326662164181,0.5067832666216419,s,0,0.16816212399862707,167.00751317100367,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
2,1,0,1,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.20535177300917,167.40665761596756,167.73841258697212,167.9386850890005,0.2158148106536828,0.5158148106536828,d,0,0.17935692495666444,167.9057244869764,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
3,1,0,1,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.10555486899102,168.30577521398664,168.62158684397582,168.82171150197973,0.20192191563546658,0.5019219156354666,s,0,0.027297375025227666,168.78891779499827,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
4,1,0,1,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.8382945060148,169.04089436499635,169.36821442696964,169.57411615701858,0.20483711460838094,0.504837114608381,s,0,1.0632387220393866,169.52259552298347,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
5,1,0,1,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.60480139800347,170.80573280598037,171.12208748800913,171.32237843697658,0.2054456346668303,0.5054456346668303,s,0,0.16315201099496335,171.28917496401118,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
6,1,0,1,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.47283649398014,171.67206344299484,172.01874676701846,172.2221377210226,0.2110196457360871,0.5110196457360872,d,0,0.09768648102181032,172.17379853397142,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
7,1,0,1,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.30731519596884,172.8137459270074,172.83457388699753,173.0388999239658,0.20833445363678038,0.5083344536367804,d,0,0.1776845630374737,172.99033157300437,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
8,1,0,1,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.20711292000487,173.40562103799311,173.72178287396673,173.9239311320125,0.21187819459009916,0.5118781945900992,d,0,0.17507384798955172,173.89066662197,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
9,1,0,1,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.1072649359703,174.3055887990049,174.6220885340008,174.82207489100983,0.20446981262648478,0.5044698126264848,d,0,0.3162643340183422,174.78888135001762,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
10,1,0,1,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.12208554899553,175.3214877009741,175.63851049199002,175.83898767299252,0.2035749636706896,0.5035749636706897,d,0,0.4501535859890282,175.80544114898657,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
11,1,0,1,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.28903363499558,176.7805531710037,176.78864818497095,176.98934142699,0.19967185228597373,0.4996718522859737,s,0,0.6897722299909219,176.97416741098277,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
12,1,0,1,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.6889309050166,177.88912984501803,178.21851548500126,178.4224825919955,0.20309289771830663,0.5030928977183067,d,0,0.5374713710043579,178.37421240500407,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
13,1,0,1,0,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.9388944329694,179.1392752850079,179.4682807640056,179.6722724249703,0.20284063869621605,0.5028406386962161,d,0,0.0620137809892185,179.62386200699257,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
14,1,0,1,0,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.70548594201682,179.90598582400708,180.22196139401058,180.4239400550141,0.205385725654196,0.505385725654196,d,0,0.1571935520041734,180.38869723997777,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
15,1,0,1,0,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.58935099001974,180.78922257298836,181.10540919698542,181.30749061901588,0.20170591765781865,0.5017059176578187,d,0,0.047986646997742355,181.2745373059879,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
16,1,0,1,0,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.3389128309791,181.53902508498868,181.8555510470178,182.05564614001196,0.20419102971209213,0.5041910297120922,d,0,0.8270061839721166,182.02257924200967,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
17,1,0,1,0,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.87235566502204,183.0725373890018,183.3889557759976,183.58894727099687,0.2045237176353112,0.5045237176353112,d,0,0.0694938400411047,183.55600150697865,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
18,1,0,1,0,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.65563360997476,183.85549100697972,184.17188734799856,184.3743937399704,0.20024067570921034,0.5002406757092104,d,0,0.16890698403585702,184.3389220639947,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
19,1,0,1,0,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5573012509849,184.75607899198076,185.07194396900013,185.27266542200232,0.2109307306818664,0.5109307306818665,d,0,0.11735515296459198,185.23936513101216,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
20,1,0,1,0,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.37232701398898,185.57438825297868,185.90286500699585,186.1057386919856,0.20269163965713233,0.5026916396571324,d,0,0.2703344970359467,186.05760767898755,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
21,1,0,1,0,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.35566532297526,186.55564966698876,186.87191725097364,187.07244119298412,0.20406415563775226,0.5040641556377523,d,0,0.1255054019857198,187.03924815700157,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
22,1,0,1,0,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.18899033596972,187.3893959459965,187.70559710497037,187.9079353819834,0.2066707806661725,0.5066707806661725,d,0,0.03991024900460616,187.874205968983,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
23,1,0,1,0,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.93882182997186,188.13894728699233,188.4689746510121,188.67240630299784,0.20606273069279268,0.5060627306927927,d,0,0.13095405598869547,188.624316876987,None,,,,,,,,,,,,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
0,1,0,1,0,,,,,,,,,0,0,0,0,,,,,188.77189750300022,None,space,1.21444229996996,188.77189750300022,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.02424262097338,190.2225573270116,190.5389337289962,190.73904881201452,0.21232211164897308,0.5123221116489731,s,0,0.5018897569971159,190.7059450210072,None,,,,,,,,,,,,geg,001,2020_Sep_23_2243,config_feat_task,2020.2.4,None,
